context,question,text,original_index
"Among the reasons this speech was so greatly admired was its passage on Lord Bathurst (1684–1775); Burke describes an angel in 1704 prophesying to Bathurst the future greatness of England and also of America: ""Young man, There is America – which at this day serves little more than to amuse you with stories of savage men, and uncouth manners; yet shall, before you taste of death, shew itself equal to the whole of that commerce which now attracts the envy of the world"". Samuel Johnson was so irritated at hearing it continually praised, that he made a parody of it, where the devil appears to a young Whig and predicts that in short time, Whiggism will poison even the paradise of America!",What political position did Samuel Johnson say would soon poison America?,Whiggism,3142
"A desire to be closer to the urban scene has also attracted some young professionals to reside in inner ring suburbs such as Grosse Pointe and Royal Oak, Detroit. Detroit's proximity to Windsor, Ontario, provides for views and nightlife, along with Ontario's minimum drinking age of 19. A 2011 study by Walk Score recognized Detroit for its above average walkability among large U.S. cities. About two-thirds of suburban residents occasionally dine and attend cultural events or take in professional games in the city of Detroit.",Who conducted a study about Detroit's walk-ability?,Walk Score,3253
"The relationship between ethnic Greek identity and Greek Orthodox religion continued after the creation of the Modern Greek state in 1830. According to the second article of the first Greek constitution of 1822, a Greek was defined as any Christian resident of the Kingdom of Greece, a clause removed by 1840. A century later, when the Treaty of Lausanne was signed between Greece and Turkey in 1923, the two countries agreed to use religion as the determinant for ethnic identity for the purposes of population exchange, although most of the Greeks displaced (over a million of the total 1.5 million) had already been driven out by the time the agreement was signed.[note 1] The Greek genocide, in particular the harsh removal of Pontian Greeks from the southern shore area of the Black Sea, contemporaneous with and following the failed Greek Asia Minor Campaign, was part of this process of Turkification of the Ottoman Empire and the placement of its economy and trade, then largely in Greek hands under ethnic Turkish control.",How did the original  Constitution identify its society members ?,a Greek was defined as any Christian resident of the Kingdom of Greece,3297
"In November 1844, the anonymously published popular science book Vestiges of the Natural History of Creation, written by Scottish journalist Robert Chambers, widened public interest in the concept of transmutation of species. Vestiges used evidence from the fossil record and embryology to support the claim that living things had progressed from the simple to the more complex over time. But it proposed a linear progression rather than the branching common descent theory behind Darwin's work in progress, and it ignored adaptation. Darwin read it soon after publication, and scorned its amateurish geology and zoology, but he carefully reviewed his own arguments after leading scientists, including Adam Sedgwick, attacked its morality and scientific errors. Vestiges had significant influence on public opinion, and the intense debate helped to pave the way for the acceptance of the more scientifically sophisticated Origin by moving evolutionary speculation into the mainstream. While few naturalists were willing to consider transmutation, Herbert Spencer became an active proponent of Lamarckism and progressive development in the 1850s.",What was the name of the anonymously published science book?,Vestiges of the Natural History of Creation,3298
"The governments of Australia and New Zealand responded to the 2011 fresh-water crisis by supplying temporary desalination plants, and assisted in the repair of the existing desalination unit that was donated by Japan in 2006. In response to the 2011 drought, Japan funded the purchase of a 100 m3/d desalination plant and two portable 10 m3/d plants as part of its Pacific Environment Community (PEC) program. Aid programs from the European Union and Australia also provided water tanks as part of the longer term solution for the storage of available fresh water.",In what year had Japan previously donated a desalination plant to Tuvalu?,2006,3323
"Palermo (Italian: [paˈlɛrmo] ( listen), Sicilian: Palermu, Latin: Panormus, from Greek: Πάνορμος, Panormos, Arabic: بَلَرْم‎, Balarm; Phoenician: זִיז, Ziz) is a city in Insular Italy, the capital of both the autonomous region of Sicily and the Province of Palermo. The city is noted for its history, culture, architecture and gastronomy, playing an important role throughout much of its existence; it is over 2,700 years old. Palermo is located in the northwest of the island of Sicily, right by the Gulf of Palermo in the Tyrrhenian Sea.",How old is the city of Palermo?,"2,700 years old",3344
"Above the sessions exist presbyteries, which have area responsibilities. These are composed of teaching elders and ruling elders from each of the constituent congregations. The presbytery sends representatives to a broader regional or national assembly, generally known as the General Assembly, although an intermediate level of a synod sometimes exists. This congregation / presbytery / synod / general assembly schema is based on the historical structure of the larger Presbyterian churches, such as the Church of Scotland or the Presbyterian Church (U.S.A.); some bodies, such as the Presbyterian Church in America and the Presbyterian Church in Ireland, skip one of the steps between congregation and General Assembly, and usually the step skipped is the Synod. The Church of Scotland has now abolished the Synod.[citation needed]",What are the area of responsibilities made up of?,teaching elders and ruling elders,3379
"The largest mammal to live in the highest altitudes are the alpine ibex, which have been sighted as high as 3,000 m (9,843 ft). The ibex live in caves and descend to eat the succulent alpine grasses. Classified as antelopes, chamois are smaller than ibex and found throughout the Alps, living above the tree line and are common in the entire alpine range. Areas of the eastern Alps are still home to brown bears. In Switzerland the canton of Bern was named for the bears but the last bear is recorded as having been killed in 1792 above Kleine Scheidegg by three hunters from Grindelwald.",How high have the Alpine Ibex been sighted?,"as high as 3,000 m (9,843 ft)",3392
"Bell and his assistant Charles Sumner Tainter jointly invented a wireless telephone, named a photophone, which allowed for the transmission of both sounds and normal human conversations on a beam of light. Both men later became full associates in the Volta Laboratory Association.",What did Bell call his cord-free phone?,photophone,3433
"Copyright infringement is reproducing, distributing, displaying or performing a work, or to make derivative works, without permission from the copyright holder, which is typically a publisher or other business representing or assigned by the work's creator. It is often called ""piracy"". While copyright is created the instance a work is fixed, generally the copyright holder can only get money damages if the owner registers the copyright.[citation needed] Enforcement of copyright is generally the responsibility of the copyright holder. The ACTA trade agreement, signed in May 2011 by the United States, Japan, Switzerland, and the EU, and which has not entered into force, requires that its parties add criminal penalties, including incarceration and fines, for copyright and trademark infringement, and obligated the parties to active police for infringement. There are limitations and exceptions to copyright, allowing limited use of copyrighted works, which does not constitute infringement. Examples of such doctrines are the fair use and fair dealing doctrine.",Which doctrines allow limited use of copyrighted works?,fair use and fair dealing,3435
"Israel has two official languages, Hebrew and Arabic. Hebrew is the primary language of the state and is spoken everyday by the majority of the population, and Arabic is spoken by the Arab minority and Hebrew is taught in Arab schools. English was an official language during the Mandate period; it lost this status after the creation of Israel, but retains a role comparable to that of an official language, as may be seen in road signs and official documents. Many Israelis communicate reasonably well in English, as many television programs are broadcast in English with subtitles and the language is taught from the early grades in elementary school. In addition, Israeli universities offer courses in the English language on various subjects. As a country of immigrants, many languages can be heard on the streets. Due to mass immigration from the former Soviet Union and Ethiopia (some 130,000 Ethiopian Jews live in Israel), Russian and Amharic are widely spoken. More than one million Russian-speaking immigrants arrived in Israel from the former Soviet Union states between 1990 and 2004. French is spoken by around 700,000 Israelis, mostly originating from France and North Africa (see Maghrebi Jews).",What are the two official languages of Israel?,Hebrew and Arabic,3463
"During Victoria's first pregnancy in 1840, in the first few months of the marriage, 18-year-old Edward Oxford attempted to assassinate her while she was riding in a carriage with Prince Albert on her way to visit her mother. Oxford fired twice, but either both bullets missed or, as he later claimed, the guns had no shot. He was tried for high treason and found guilty, but was acquitted on the grounds of insanity. In the immediate aftermath of the attack, Victoria's popularity soared, mitigating residual discontent over the Hastings affair and the bedchamber crisis. Her daughter, also named Victoria, was born on 21 November 1840. The Queen hated being pregnant, viewed breast-feeding with disgust, and thought newborn babies were ugly. Nevertheless, over the following seventeen years, she and Albert had a further eight children: Albert Edward, Prince of Wales (b. 1841), Alice (b. 1843), Alfred (b. 1844), Helena (b. 1846), Louise (b. 1848), Arthur (b. 1850), Leopold (b. 1853) and Beatrice (b. 1857).",Who tried to assassinate Queen Victoria while she was pregnant with her first child?,Edward Oxford,3504
"Among the oldest surviving examples of Nizam architecture in Hyderabad is the Chowmahalla Palace, which was the seat of royal power. It showcases a diverse array of architectural styles, from the Baroque Harem to its Neoclassical royal court. The other palaces include Falaknuma Palace (inspired by the style of Andrea Palladio), Purani Haveli, King Kothi and Bella Vista Palace all of which were built at the peak of Nizam rule in the 19th century. During Mir Osman Ali Khan's rule, European styles, along with Indo-Islamic, became prominent. These styles are reflected in the Falaknuma Palace and many civic monuments such as the Hyderabad High Court, Osmania Hospital, Osmania University, the State Central Library, City College, the Telangana Legislature, the State Archaeology Museum, Jubilee Hall, and Hyderabad and Kachiguda railway stations. Other landmarks of note are Paigah Palace, Asman Garh Palace, Basheer Bagh Palace, Errum Manzil and the Spanish Mosque, all constructed by the Paigah family.:16–17",Which family constructed the Basheer Bagh Palace?,Paigah family,3507
"The most popular term in English-speaking Canada used for a drinking establishment was ""tavern"", until the 1970s when the term ""bar"" became widespread as in the United States. In the 1800s the term used was ""public house"" as in England but ""pub culture"" did not spread to Canada. A fake ""English looking"" pub trend started in the 1990s, built into existing storefronts, like regular bars. Most universities in Canada have campus pubs which are central to student life, as it would be bad form just to serve alcohol to students without providing some type of basic food. Often these pubs are run by the student's union. The gastropub concept has caught on, as traditional British influences are to be found in many Canadian dishes. There are now pubs in the large cities of Canada that cater to anyone interested in a ""pub"" type drinking environment.[citation needed]",What body often runs pubs on the campuses of Canadian universities?,the student's union,3508
"When the news arrived in England it caused an outcry. In response, a combined bounty of £1,000 was offered for Every's capture by the Privy Council and East India Company, leading to the first worldwide manhunt in recorded history. The plunder of Aurangzeb's treasure ship had serious consequences for the English East India Company. The furious Mughal Emperor Aurangzeb ordered Sidi Yaqub and Nawab Daud Khan to attack and close four of the company's factories in India and imprison their officers, who were almost lynched by a mob of angry Mughals, blaming them for their countryman's depredations, and threatened to put an end to all English trading in India. To appease Emperor Aurangzeb and particularly his Grand Vizier Asad Khan, Parliament exempted Every from all of the Acts of Grace (pardons) and amnesties it would subsequently issue to other pirates.",Captian Every was the focus of the first recorded worldwide.... what in history?,manhunt,3550
"His opponents learned from Napoleon's innovations. The increased importance of artillery after 1807 stemmed from his creation of a highly mobile artillery force, the growth in artillery numbers, and changes in artillery practices. As a result of these factors, Napoleon, rather than relying on infantry to wear away the enemy's defenses, now could use massed artillery as a spearhead to pound a break in the enemy's line that was then exploited by supporting infantry and cavalry. McConachy rejects the alternative theory that growing reliance on artillery by the French army beginning in 1807 was an outgrowth of the declining quality of the French infantry and, later, France's inferiority in cavalry numbers. Weapons and other kinds of military technology remained largely static through the Revolutionary and Napoleonic eras, but 18th-century operational mobility underwent significant change.",Who learned from Napoleon's innovations?,His opponents,3657
"Augustus' religious reformations raised the funding and public profile of the Vestals. They were given high-status seating at games and theatres. The emperor Claudius appointed them as priestesses to the cult of the deified Livia, wife of Augustus. They seem to have retained their religious and social distinctions well into the 4th century, after political power within the Empire had shifted to the Christians. When the Christian emperor Gratian refused the office of pontifex maximus, he took steps toward the dissolution of the order. His successor Theodosius I extinguished Vesta's sacred fire and vacated her temple.",What advantage was there in being a Vestal at games?,seating,3690
"The ReWritable Audio CD is designed to be used in a consumer audio CD recorder, which will not (without modification) accept standard CD-RW discs. These consumer audio CD recorders use the Serial Copy Management System (SCMS), an early form of digital rights management (DRM), to conform to the United States' Audio Home Recording Act (AHRA). The ReWritable Audio CD is typically somewhat more expensive than CD-RW due to (a) lower volume and (b) a 3% AHRA royalty used to compensate the music industry for the making of a copy.","Which is less expensive, the ReWritable Audio CD or a CD-RW?",CD-RW,3732
"Mexico city primarily rests on what was Lake Texcoco. Seismic activity is frequent here. Lake Texcoco was drained starting from the 17th century. Although none of the lake waters remain, the city rests on the lake bed's heavily saturated clay. This soft base is collapsing due to the over-extraction of groundwater, called groundwater-related subsidence. Since the beginning of the 20th century the city has sunk as much as nine metres (30 feet) in some areas. This sinking is causing problems with runoff and wastewater management, leading to flooding problems, especially during the rainy season. The entire lake bed is now paved over and most of the city's remaining forested areas lie in the southern boroughs of Milpa Alta, Tlalpan and Xochimilco.",How much has the city fallen?,as much as nine metres (30 feet),3753
"The epidermis is typically 10 to 30 cells thick; its main function is to provide a waterproof layer. Its outermost cells are constantly lost; its bottommost cells are constantly dividing and pushing upward. The middle layer, the dermis, is 15 to 40 times thicker than the epidermis. The dermis is made up of many components, such as bony structures and blood vessels. The hypodermis is made up of adipose tissue. Its job is to store lipids, and to provide cushioning and insulation. The thickness of this layer varies widely from species to species.",What is the main function of the epidermis?,to provide a waterproof layer,3754
"Given the wide range of styles in classical music, from Medieval plainchant sung by monks to Classical and Romantic symphonies for orchestra from the 1700s and 1800s to avant-garde atonal compositions for solo piano from the 1900s, it is difficult to list characteristics that can be attributed to all works of that type. However, there are characteristics that classical music contains that few or no other genres of music contain, such as the use of a printed score and the performance of very complex instrumental works (e.g., the fugue). As well, although the symphony did not exist through the entire classical music period, from the mid-1700s to the 2000s the symphony ensemble—and the works written for it—have become a defining feature of classical music.",The use of a printed score and the performance of very complex instrumental works are characteristics of what?,classical music,3757
"In 1957, the state of Arkansas refused to honor a federal court order to integrate their public school system stemming from the Brown decision. Eisenhower demanded that Arkansas governor Orval Faubus obey the court order. When Faubus balked, the president placed the Arkansas National Guard under federal control and sent in the 101st Airborne Division. They escorted and protected nine black students' entry to Little Rock Central High School, an all-white public school, for the first time since the Reconstruction Era. Martin Luther King Jr. wrote to Eisenhower to thank him for his actions, writing ""The overwhelming majority of southerners, Negro and white, stand firmly behind your resolute action to restore law and order in Little Rock"".",What military unit was sent from outside of Arkansas to oversee desegregation?,101st Airborne Division,3773
"Worldwide use of solar power and wind power continued to grow significantly in 2012. Solar electricity consumption increased by 58 percent, to 93 terawatt-hours (TWh). Use of wind power in 2012 increased by 18.1 percent, to 521.3 TWh. Global solar and wind energy installed capacities continued to expand even though new investments in these technologies declined during 2012. Worldwide investment in solar power in 2012 was $140.4 billion, an 11 percent decline from 2011, and wind power investment was down 10.1 percent, to $80.3 billion. But due to lower production costs for both technologies, total installed capacities grew sharply. This investment decline, but growth in installed capacity, may again occur in 2013. Analysts expect the market to triple by 2030. In 2015, investment in renewables exceeded fossils.",How much was the worldwide investment in solar power in 2012?,$140.4 billion,3777
"Before the French and Indian War, the Appalachian Mountains laid on the indeterminate boundary between Britain's colonies along the Atlantic and French areas centered in the Mississippi basin. After the French and Indian War, the Proclamation of 1763 restricted settlement for Great Britain's thirteen original colonies in North America to east of the summit line of the mountains (except in the northern regions where the Great Lakes formed the boundary). Although the line was adjusted several times to take frontier settlements into account and was impossible to enforce as law, it was strongly resented by backcountry settlers throughout the Appalachians. The Proclamation Line can be seen as one of the grievances which led to the American Revolutionary War. Many frontier settlers held that the defeat of the French opened the land west of the mountains to English settlement, only to find settlement barred by the British King's proclamation. The backcountry settlers who fought in the Illinois campaign of George Rogers Clark were motivated to secure their settlement of Kentucky.",What did the law likely lead to?,the American Revolutionary War,3778
"Though pesticide regulations differ from country to country, pesticides, and products on which they were used are traded across international borders. To deal with inconsistencies in regulations among countries, delegates to a conference of the United Nations Food and Agriculture Organization adopted an International Code of Conduct on the Distribution and Use of Pesticides in 1985 to create voluntary standards of pesticide regulation for different countries. The Code was updated in 1998 and 2002. The FAO claims that the code has raised awareness about pesticide hazards and decreased the number of countries without restrictions on pesticide use.",How recently were voluntary standards of pesticide regulation updated?,2002,3783
"Differences in feasts may also originate from doctrinal issues—the Feast of the Assumption is such an example. Given that there is no agreement among all Christians on the circumstances of the death, Dormition or Assumption of Mary, the feast of assumption is celebrated among some denominations and not others.  While the Catholic Church celebrates the Feast of the Assumption on August 15, some Eastern Catholics celebrate it as Dormition of the Theotokos, and may do so on August 28, if they follow the Julian calendar. The Eastern Orthodox also celebrate it as the Dormition of the Theotokos, one of their 12 Great Feasts. Protestants do not celebrate this, or any other Marian feasts.",How many Great Feasts does the Eastern Orthodox Church celebrate?,12,3789
"In the wake of the Coventry Blitz, there was widespread agitation from the Communist Party over the need for bomb-proof shelters. Many Londoners, in particular, took to using the Underground railway system, without authority, for shelter and sleeping through the night there until the following morning. So worried were the Government over the sudden campaign of leaflets and posters distributed by the Communist Party in Coventry and London, that the Police were sent in to seize their production facilities. The Government, up until November 1940, was opposed to the centralised organisation of shelter. Home Secretary Sir John Anderson was replaced by Morrison soon afterwards, in the wake of a Cabinet reshuffle as the dying Neville Chamberlain resigned. Morrison warned that he could not counter the Communist unrest unless provision of shelters were made. He recognised the right of the public to seize tube stations and authorised plans to improve their condition and expand them by tunnelling. Still, many British citizens, who had been members of the Labour Party, itself inert over the issue, turned to the Communist Party. The Communists attempted to blame the damage and casualties of the Coventry raid on the rich factory owners, big business and landowning interests and called for a negotiated peace. Though they failed to make a large gain in influence, the membership of the Party had doubled by June 1941. The ""Communist threat"" was deemed important enough for Herbert Morrison to order, with the support of the Cabinet, the stoppage of the Daily Worker and The Week; the Communist newspaper and journal.",What did Morrison warn he couldn't do?,that he could not counter the Communist unrest unless provision of shelters were made.,3796
"Śīla (Sanskrit) or sīla (Pāli) is usually translated into English as ""virtuous behavior"", ""morality"", ""moral discipline"", ""ethics"" or ""precept"". It is an action committed through the body, speech, or mind, and involves an intentional effort. It is one of the three practices (sīla, samādhi, and paññā) and the second pāramitā. It refers to moral purity of thought, word, and deed. The four conditions of śīla are chastity, calmness, quiet, and extinguishment.",What is an action committed through the body and involves intentional effort?,Śīla,3798
"Westminster Abbey, formally titled the Collegiate Church of St Peter at Westminster, is a large, mainly Gothic abbey church in the City of Westminster, London, located just to the west of the Palace of Westminster. It is one of the most notable religious buildings in the United Kingdom and has been the traditional place of coronation and burial site for English and, later, British monarchs. Between 1540 and 1556 the abbey had the status of a cathedral. Since 1560, however, the building is no longer an abbey nor a cathedral, having instead the status of a Church of England ""Royal Peculiar""—a church responsible directly to the sovereign. The building itself is the original abbey church.",What has been the status of Westminster Abbey since 1560?,"Church of England ""Royal Peculiar""",3835
"The Compacts of Free Association between the United States, the Federated States of Micronesia, the Republic of the Marshall Islands and the Republic of Palau accorded the former entities of the Trust Territory of the Pacific Islands a political status of ""free association"" with the United States. The Compacts give citizens of these island nations generally no restrictions to reside in the United States (also its territories), and many were attracted to Guam due to its proximity, environmental, and cultural familiarity. Over the years, it was claimed by some in Guam that the territory has had to bear the brunt of this agreement in the form of public assistance programs and public education for those from the regions involved, and the federal government should compensate the states and territories affected by this type of migration.[citation needed] Over the years, Congress had appropriated ""Compact Impact"" aids to Guam, the Northern Mariana Islands and Hawaii, and eventually this appropriation was written into each renewed Compact. Some, however, continue to claim the compensation is not enough or that the distribution of actual compensation received is significantly disproportionate.[citation needed]",What has Guam claimed about Compacts of Free Association?,the territory has had to bear the brunt of this agreement,3845
"Downtown Boston's streets grew organically, so they do not form a planned grid, unlike those in later-developed Back Bay, East Boston, the South End, and South Boston. Boston is the eastern terminus of I-90, which in Massachusetts runs along the Massachusetts Turnpike. The elevated portion of the Central Artery, which carried most of the through traffic in downtown Boston, was replaced with the O'Neill Tunnel during the Big Dig, substantially completed in early 2006.",The streets of Back bay grew into a what?,planned grid,3864
"The American professor Robert H. Goddard had worked on developing solid-fuel rockets since 1914, and demonstrated a light battlefield rocket to the US Army Signal Corps only five days before the signing of the armistice that ended World War I. He also started developing liquid-fueled rockets in 1921; yet he had not been taken seriously by the public, and was not sponsored by the government as part of the post-WW II rocket development effort. Von Braun, himself inspired by Goddard's work, was bemused by this when debriefed by his American handlers, asking them, ""Why didn't you just ask Dr. Goddard?""[citation needed]",Liquid-fueled rockets were developed in what year?,1921,3867
"A parasitic relationship is one in which one member of the association benefits while the other is harmed. This is also known as antagonistic or antipathetic symbiosis. Parasitic symbioses take many forms, from endoparasites that live within the host's body to ectoparasites that live on its surface. In addition, parasites may be necrotrophic, which is to say they kill their host, or biotrophic, meaning they rely on their host's surviving. Biotrophic parasitism is an extremely successful mode of life. Depending on the definition used, as many as half of all animals have at least one parasitic phase in their life cycles, and it is also frequent in plants and fungi. Moreover, almost all free-living animals are host to one or more parasite taxa. An example of a biotrophic relationship would be a tick feeding on the blood of its host.",What is it called when organisms are lethal to their host?,necrotrophic,3871
"In 1768 Russian-backed Ukrainian Haidamaks, pursuing Polish confederates, entered Balta, an Ottoman-controlled town on the border of Bessarabia in Ukraine, and massacred its citizens and burned the town to the ground. This action provoked the Ottoman Empire into the Russo-Turkish War of 1768–1774. The Treaty of Küçük Kaynarca of 1774 ended the war and provided freedom to worship for the Christian citizens of the Ottoman-controlled provinces of Wallachia and Moldavia. By the late 18th century, a number of defeats in several wars with Russia led some people in the Ottoman Empire to conclude that the reforms of Peter the Great had given the Russians an edge, and the Ottomans would have to keep up with Western technology in order to avoid further defeats.",Near what region was Balta bording?,Bessarabia,3872
"Prior to 1917, Turkey used the lunar Islamic calendar with the Hegira era for general purposes and the Julian calendar for fiscal purposes. The start of the fiscal year was eventually fixed at 1 March and the year number was roughly equivalent to the Hegira year (see Rumi calendar). As the solar year is longer than the lunar year this originally entailed the use of ""escape years"" every so often when the number of the fiscal year would jump. From 1 March 1917 the fiscal year became Gregorian, rather than Julian. On 1 January 1926 the use of the Gregorian calendar was extended to include use for general purposes and the number of the year became the same as in other countries.",What calendar did Turkey use before 1917 for general purposes?,lunar Islamic,3883
"GE (General Electric) Energy's renewable energy business has expanded greatly, to keep up with growing U.S. and global demand for clean energy. Since entering the renewable energy industry in 2002, GE has invested more than $850 million in renewable energy commercialization. In August 2008 it acquired Kelman Ltd, a Northern Ireland company specializing in advanced monitoring and diagnostics technologies for transformers used in renewable energy generation, and announced an expansion of its business in Northern Ireland in May 2010. In 2009, GE's renewable energy initiatives, which include solar power, wind power and GE Jenbacher gas engines using renewable and non-renewable methane-based gases, employ more than 4,900 people globally and have created more than 10,000 supporting jobs.",In what year did GE acquire Kelman Ltd.?,2008,3884
