,Unnamed: 0,context_translated,question_translated,text_translated,original_index
10,10,"පුද්ගලික පාර්ශවයන් අතර ගිවිසුමක් මගින් (ප්‍රකාශිත හෝ ව්‍යංගයෙන්) ස්ථාපිත කර ඇති බැඳීම් කොන්ත්‍රාත් නීතිය මගින් ආවරණය කෙරේ. සාමාන්‍යයෙන්, ඒකාකාර වාණිජ කේතය පුළුල් ලෙස පිළිගැනීමේ ප්‍රති result ලයක් ලෙස භාණ්ඩ විකිණීම සම්බන්ධ ගනුදෙනු වල කොන්ත්‍රාත් නීතිය රට පුරා ඉහළ ප්‍රමිතියකට පත්ව ඇත. කෙසේ වෙතත්, යම් රාජ්‍යයක් විසින් එහි පොදු කොන්ත්‍රාත් නීතිය කේතනය කර ඇති ප්‍රමාණය හෝ කොන්ත්‍රාත්තු නැවත පිහිටුවීමේ (දෙවන) කොටස් අනුමත කර ඇති ප්‍රමාණය මත පදනම්ව, වෙනත් ආකාරයේ ගිවිසුම් අර්ථ නිරූපණය කිරීමේ දී තවමත් සැලකිය යුතු විවිධත්වයක් පවතී. කෙසේ වෙතත්, යම් රාජ්‍යයක් විසින් එහි පොදු කොන්ත්‍රාත් නීතිය කේතනය කර ඇති ප්‍රමාණය හෝ කොන්ත්‍රාත්තු නැවත පිහිටුවීමේ (දෙවන) කොටස් අනුමත කර ඇති ප්‍රමාණය මත පදනම්ව, වෙනත් ආකාරයේ ගිවිසුම් අර්ථ නිරූපණය කිරීමේ දී තවමත් සැලකිය යුතු විවිධත්වයක් පවතී.",කොන්ත්‍රාත් නීතිය යනු කුමක්ද?,පුද්ගලික පාර්ශවයන් අතර ගිවිසුමක් (ප්‍රකාශිත හෝ ඇඟවුම්) මගින් ස්ථාපිත කර ඇති බැඳීම්,2010
11,11,"පුද්ගලික පාර්ශවයන් අතර ගිවිසුමක් (ප්‍රකාශිත හෝ ඇඟවුම්) මගින් ස්ථාපිත කර ඇති බැඳීම්... ප්‍රංශය ජර්මනියට නැගී සිටින්නේ කෙසේදැයි ඇසූ විට ඔහු පැවසුවේ “ඔහ්, ප්‍රංශය ප්‍රශ්නයක් නැහැ” යනුවෙනි.",වොන් නියුමාන්ගේ මව සහ සහෝදර සහෝදරියන් ඔහු සමඟ එක්සත් ජනපදයට එක් වූයේ කුමන වර්ෂයේදීද?,1939,2011
12,12,"රාජකීය අවසරය ලබා දීම ස්පා Spanish ් mon අධිරාජ්‍යයා හෘද සාක්ෂියට එකඟව ප්‍රතික්ෂේප කළේ නම්, බෙල්ජියම් බෞඩොයින් රජුගේ විරෝධය හැසිරවීමට සමාන ක්‍රියා පටිපාටියක් වත්මන් ව්‍යවස්ථාව යටතේ කළ නොහැකි වනු ඇත. රාජකීය අධිකාරිය පැවරීමට ස්වෛරීයා කවදා හෝ අසමත් යැයි ප්‍රකාශයට පත් කරනු ලැබුවහොත්, ඔහුගේ හෝ ඇයගේ බලතල කැබිනට් මණ්ඩලයට පැවරෙන්නේ නැත. ඒ වෙනුවට, ආණ්ඩුක්‍රම ව්‍යවස්ථාවට අනුව අනුප්‍රාප්තිකයාගේ ඊළඟ වයස් කාණ්ඩයේ පුද්ගලයා වහාම රීජන්ට් වනු ඇත. එමනිසා, 2005 හෝ 2010 දී ජුවාන් කාලෝස් බෙල්ජියම් ආදර්ශය අනුගමනය කළේ නම්, නොහැකියාව පිළිබඳ ප්‍රකාශයක් මගින් බලය ෆෙලිපේ වෙත පැවරෙනු ඇත. එමනිසා, 2005 හෝ 2010 දී ජුවාන් කාලෝස් බෙල්ජියම් ආදර්ශය අනුගමනය කළේ නම්, නොහැකියාව පිළිබඳ ප්‍රකාශයක් මගින් බලය ෆෙලිපේ වෙත පැවරෙනු ඇත.",බෙල්ජියමේ බවුඩොයින් රජු කළ සිදුවීම් ස්පා Spanish ් ruler පාලකයෙකුට අනුගමනය කළ හැකිද?,වත්මන් ව්‍යවස්ථාව යටතේ කළ නොහැකි ය,2012
13,13,වත්මන් ව්‍යවස්ථාව යටතේ කළ නොහැකි ය [සටහන 1] සමහරු එය මහා ඇමරිකානු නවකතාව ලෙස සලකති.,"To Kill a Mockingbird පළමුවෙන් එළියට පැමිණ වසරකට පසු, එය භාෂා කීයකින් මුද්‍රණය කර තිබේද?",දහය,2013
14,14,දහය මෑත උදාහරණ අතර දුම්පානය නොකරන සෞඛ්‍ය ව්‍යාපාර සහ ත්‍රස්තවාදයට ඇති බිය අවධාරණය කරන දේශපාලන ව්‍යාපාර ඇතුළත් වේ.,ප්‍රේමයේ චිත්තවේගයන් හා බැඳී ඇති සමාජ ආයතනය කුමක්ද?,විවාහ,2014
15,15,"1998 වන තෙක් ජාලය සිය ප්‍රධාන කැනේඩියානු වැඩසටහන් වලට අමතරව විවිධ ඇමරිකානු වැඩසටහන් ක්‍රියාත්මක කළ අතර පුද්ගලික කැනේඩියානු විකාශකයින් වන සීටීවී සහ ග්ලෝබල් සමඟ සෘජුවම තරඟ කරයි. එතැන් සිට, එය කැනේඩියානු වැඩසටහන්, බ්‍රිතාන්‍ය වැඩසටහන් අතලොස්සක් සහ ඇමරිකානු චිත්‍රපට කිහිපයක් සහ ජාලයෙන් පිටත පුනරාවර්තනයන් සඳහා පමණක් සීමා වී ඇත. මෙම වෙනසෙන් පසුව, සීබීසී සමහර විට 1995 ට පෙර ලබාගත් ශ්‍රේණිගත කිරීම් හා සැසඳිය හැකි ශ්‍රේණිගත කිරීම් පවත්වා ගැනීමට මහත් පරිශ්‍රමයක් දැරීය. 2007-08 කන්නයේ දී, ලිට්ල් මොස්ක් ඔන් ද ප්‍රේරී සහ ද බෝඩර් වැනි ජනප්‍රිය මාලාවන් දශක භාගයකට වැඩි කාලයක් තුළ ජාලයට එහි ශක්තිමත්ම ශ්‍රේණිගත කිරීමේ කාර්ය සාධනය ලබා ගැනීමට උපකාරී විය. 2007-08 කන්නයේ දී, ලිට්ල් මොස්ක් ඔන් ද ප්‍රේරී සහ ද බෝඩර් වැනි ජනප්‍රිය මාලාවන් දශක භාගයකට වැඩි කාලයක් තුළ ජාලයට එහි ශක්තිමත්ම ශ්‍රේණිගත කිරීමේ කාර්ය සාධනය ලබා ගැනීමට උපකාරී විය.",ජාලය නැවත ජනප්‍රිය කර ගැනීමට උපකාරී වූ මෑත (2007-2008) සංදර්ශන මොනවාද?,ප්‍රේරී සහ බෝඩරයේ කුඩා පල්ලිය,2015
16,16,"ප්‍රේරී සහ බෝඩරයේ කුඩා පල්ලිය... ක්විං විසින් ඔවුන්ගේ බැනර්වල මායිම් තරණය කිරීම, වෙනත් මොන්ගෝලියානු බැනර්වලට ඇතුළු කිරීම සහ නීඩි (හැන් චීන 18 පළාත්) හරහා යාම මොංගෝලියානුවන්ට තහනම් කරන ලද අතර මොංගෝලියානුවන් එකිනෙකාට බෙදී සිටීම සඳහා ඔවුන්ට ද if ුවම් නියම විය. ක්වින්ග්ට වාසි.",චීනයේ අධික ජනගහනයකට හේතු වූයේ කුමක්ද?,සමෘද්ධිය සහ අභ්‍යන්තර ස්ථාවරත්වය,2016
17,17,සමෘද්ධිය සහ අභ්‍යන්තර ස්ථාවරත්වය... ත්‍රිභුවන් ජාත්‍යන්තර ගුවන්තොටුපළ වෙත යන මාර්ගයේ බාබර් මහල් හි පිහිටි නේපාල කලා මණ්ඩල ගැලරියේ ජාතික හා ජාත්‍යන්තර කලාකරුවන්ගේ කලා කෘති සහ චිත්‍ර ප්‍රදර්ශන සඳහා නිතිපතා භාවිතා කරන පුළුල් ශාලා අඩංගු වේ.,කලා පන්තියක් ගත හැකි නේපාලයේ කුමන කලාගාරවලද?,ශ්‍රීජන සමකාලීන කලාභවන,2017
18,18,"ඩබ්ලිව් 122 වන වීදි සෙමිනරි පේළිය ඇම්ස්ටර්ඩෑම් මාවතේ (දහවන මාවත) මංසන්ධියේ සිට බටහිරට කුට්ටි තුනක් (අඩි 1,500 (මීටර 460)) දිවෙන අතර රිවර්සයිඩ් ඩ්‍රයිව් මංසන්ධියෙන් අවසන් වේ. ඇම්ස්ටර්ඩෑම් වලට නැගෙනහිරින්, සෙමිනරි පේළිය මෝනිංසයිඩ් උද්‍යානය දිගේ දකුණට නැමී මෝනිංසයිඩ් ඩ්‍රයිව් (නවවන මාවත) ලෙස ඉල්ලා අස්විය. සෙමිනරි පේළිය කොලොම්බියා විශ්ව විද්‍යාලය අවට දිස්ත්‍රික්කය වන මෝනිංසයිඩ් හයිට්ස් හි ක්‍රියාත්මක වන අතර බ්‍රෝඩ්වේ සහ ක්ලැරමොන්ට් මාවතේ සමහර කොටස් තරණය කරයි. සෙමිනරි පේළිය කොලොම්බියා විශ්ව විද්‍යාලය අවට දිස්ත්‍රික්කය වන මෝනිංසයිඩ් හයිට්ස් හි ක්‍රියාත්මක වන අතර බ්‍රෝඩ්වේ සහ ක්ලැරමොන්ට් මාවතේ සමහර කොටස් තරණය කරයි.",ඩබ්ලිව් 122 වන වීදිය අවසන් වන්නේ කුමන මංසන්ධියේ ද?,රිවර්සයිඩ් ඩ්‍රයිව්,2018
19,19,"සමහර සහජීවනය සම්බන්ධතා අනිවාර්ය වේ, එයින් අදහස් කරන්නේ සංකේත දෙකම පැවැත්ම මත මුළුමනින්ම රඳා පවතින බවයි. නිදසුනක් වශයෙන්, බොහෝ ලයිකන වල තනිවම ජීවත් විය නොහැකි දිලීර හා ප්‍රභාසංශ්ලේෂණ සංකේත වලින් සමන්විත වේ. අනෙක් ඒවා මුහුණු (විකල්ප): ඔවුන්ට හැකි නමුත් අනෙක් ජීවියා සමඟ ජීවත් වීමට අවශ්‍ය නැත. අනෙක් ඒවා මුහුණු (විකල්ප): ඔවුන්ට හැකි නමුත් අනෙක් ජීවියා සමඟ ජීවත් වීමට අවශ්‍ය නැත.",එකිනෙකා නොමැතිව ජීවීන් දෙදෙනෙකුට නොනැසී පැවතිය හැකි සහජීවනයේ සම්බන්ධතාවය කුමක්ද?,බැඳී,2019
20,20,"දූෂණයේ ස්වරූපයන් වෙනස් වන නමුත් අල්ලස්, කප්පම් ගැනීම්, ron ාති සංග්‍රහය, ep ාති සංග්‍රහය, ගොම්බෙනිස්වාදය, දේශාභිමානී අනුග්‍රහය, බලපෑම් කිරීම, බද්ධ කිරීම සහ වංචා කිරීම ඇතුළත් වේ. මෙම ක්‍රියාකාරකම් වලට පමණක් සීමා නොවුවද, මත්ද්‍රව්‍ය ජාවාරම, මුදල් විශුද්ධිකරණය සහ මිනිස් ජාවාරම වැනි සාපරාධී ව්‍යවසායයන්ට දූෂණය පහසුකම් සපයයි. දේශපාලන විරුද්ධවාදීන් මර්දනය කිරීම සහ සාමාන්‍ය පොලිස් ක ality රත්වය වැනි වෙනත් අරමුණු සඳහා රජයේ බලය අනිසි ලෙස භාවිතා කිරීම ද දේශපාලන දූෂණය ලෙස සැලකේ. දේශපාලන විරුද්ධවාදීන් මර්දනය කිරීම සහ සාමාන්‍ය පොලිස් ක ality රත්වය වැනි වෙනත් අරමුණු සඳහා රජයේ බලය අනිසි ලෙස භාවිතා කිරීම ද දේශපාලන දූෂණය ලෙස සැලකේ.",මත්ද්‍රව්‍ය ජාවාරම සහ මුදල් විශුද්ධිකරණය සලකා බලන්නේ කුමක් ද?,සාපරාධී ව්‍යවසාය,2020
21,21,"සාපරාධී ව්‍යවසාය ""කොංග්‍රස් නියෝජිතයින් ෆෙඩරල් වියදම් ආරක්ෂා කිරීම දිගටම කරගෙන යනු ඇති බව දැන සිටියදීත්, බදු අඩු කිරීමට සහ රජයේ ව්‍යාප්තිය නතර කිරීමට පොරොන්දු වන ජනාධිපති අපේක්ෂකයින්ට ඡන්දය දීමේ සුඛෝපභෝගී බව ඔවුන් සතුව ඇත.""",ෆ්ලොරිඩා ප්‍රති .ාවට සහාය දෙන මෙම අපේක්ෂකයින් කරන්නේ කුමක්ද?,බදු අඩු කිරීමට සහ රජයේ ව්‍යාප්තිය නතර කිරීමට පොරොන්දු වන ජනාධිපති අපේක්ෂකයින්ට ඡන්දය දීමේ සුඛෝපභෝගී බව,2021
22,22,"ආගමේ මහජන ආධාරකරුවෙකු වූ මෞර්ය අධිරාජ්‍යයා වූ අශෝකගේ කාලය දක්වා බුද්ධාගම ඉන්දියාවේ සෙමෙන් ව්‍යාප්ත වන්නට ඇත. අශෝකගේ සහ ඔහුගේ පරම්පරාවේ සහයෝගය නිසා තවත් ස්තූප (බෞද්ධ ආගමික ස්මාරක) ඉදිකිරීමට සහ විශාල වූ මෞර්ය අධිරාජ්‍යය පුරා සහ අසල්වැසි රටවලට පවා බුද්ධාගම ව්‍යාප්ත කිරීමට ගත් උත්සාහයන්ට, විශේෂයෙන් ඉරාන කතා කරන ඇෆ්ගනිස්ථානයේ සහ මධ්‍යම ආසියාවේ, ඉන් ඔබ්බට මෞර්යයන්ගේ වයඹ දිග මායිම සහ ඉන්දියාවේ දකුණින් ශ්‍රී ලංකා දූපතට. මෙම දූත මණ්ඩල දෙක ප්‍රතිවිරුද්ධ දිශාවලට අවසානයේ දී බුද්ධාගම චීනය දක්වා ව්‍යාප්ත වීමටත්, දෙවනුව ථේරවාද බුද්ධාගම බිහිවීමටත්, ශ්‍රී ලංකාවේ සිට අග්නිදිග ආසියාවේ වෙරළබඩ ප්‍රදේශවලටත් ව්‍යාප්ත වීමට හේතු වනු ඇත. මෙම දූත මණ්ඩල දෙක ප්‍රතිවිරුද්ධ දිශාවලට අවසානයේ දී බුද්ධාගම චීනය දක්වා ව්‍යාප්ත වීමටත්, දෙවනුව ථේරවාද බුද්ධාගම බිහිවීමටත්, ශ්‍රී ලංකාවේ සිට අග්නිදිග ආසියාවේ වෙරළබඩ ප්‍රදේශවලටත් ව්‍යාප්ත වීමට හේතු වනු ඇත.","මෙම දූත මණ්ඩල දෙක ප්‍රතිවිරුද්ධ දිශාවලට අවසානයේ දී බුද්ධාගම චීනය දක්වා ව්‍යාප්ත වීමටත්, දෙවනුව ථේරවාද බුද්ධාගම බිහිවීමටත්, ශ්‍රී ලංකාවේ සිට අග්නිදිග ආසියාවේ වෙරළබඩ ප්‍රදේශවලටත් ව්‍යාප්ත වීමට හේතු වනු ඇත.",ස්ටෙපාස්,2022
23,23,"රටපුරා සිදු වූ නවතම සංගණනයට අනුව, ජර්මනියේ මුළු ජනගහනයෙන් 30.8% ක් රෝමානු කතෝලිකයන් වන අතර එවැන්ජලිස්ත රෙපරමාදු භක්තිකයන් 30.3% කි. එකල ජනගහනයෙන් 38.8% ක් වෙනත් ආගම්, අදේවවාදීන් හෝ නිශ්චිතව දක්වා නැත. “අනෙක් අය” අතර ජර්මනියේ එවැන්ජලික පල්ලියට ඇතුළත් නොවූ රෙපරමාදු භක්තිකයන් සහ ප්‍රතිසංස්කරණවාදී නව අපෝස්තලික පල්ලිය වැනි වෙනත් කිතුනුවන් ද සිටිති. රෙපරමාදු භක්තිකයන් ජර්මනියේ පුරවැසියන් අතර බහුලව දක්නට ලැබුණි. උතුරු හා නැගෙනහිර ජර්මනිය ප්‍රධාන වශයෙන් රෙපරමාදු, දකුණු හා බටහිර තරමක් කතෝලික ය. වර්තමානයේ හැම්බර්ග් සහ නැගෙනහිර ජර්මානු ප්‍රාන්තවල ආගමික නොවන බහුතරයක් සිටී. වර්තමානයේ හැම්බර්ග් සහ නැගෙනහිර ජර්මානු ප්‍රාන්තවල ආගමික නොවන බහුතරයක් සිටී.",ආගමික නොවන බහුතරයක් කොහේද?,හැම්බර්ග් සහ නැගෙනහිර ජර්මානු ජනපද,2023
