,Unnamed: 0,context_translated,question_translated,text_translated,original_index
10,10,"සාමාජික බැංකු එක රැයකින් එකිනෙකාට ණය දෙන අනුපාතය... වෛදික යුගයේ අවසානය සලකුණු කර ඇත්තේ සාම්ප්‍රදායික වෛදික මළකඳේ අවසාන කොටස වන උපනිෂද්වල සංයුතියෙනි; කෙසේ වෙතත්, මුල් සූත්‍ර භාෂාව හා අන්තර්ගතය යන දෙකෙන්ම වෛදික වේ.",සම්භාව්‍ය හා වෛදික සංස්කෘත බොහෝ විට සලකන්නේ කුමක්ද?,වෙනම උපභාෂා,6010
11,11,වෙනම උපභාෂා බාහිර සූර්ය ග්‍රහලෝක සෙවීමේදී නෙප්චූන් යනු අර්ථකථනයක් ලෙස භාවිතා කර ඇත: විද්‍යා scientists යන් විවිධ බාහිර සූර්ය වස්තූන් “බ්‍රහස්පති” ලෙස හඳුන්වන ආකාරයටම සමාන ස්කන්ධයක සොයාගත් සිරුරු බොහෝ විට “නෙප්චූන්ස්” ලෙස හැඳින්වේ.,නෙප්චූන් පෘථිවියට සාපේක්ෂව කොපමණ ස්කන්ධයක් තිබේද?,,6011
12,12,17 වතාවක් ඇය පිළිකාවක් හේතුවෙන් 2006 අප්‍රේල් 27 දින මිය ගියාය.,කෙරී සහ ඔහුගේ බිරිඳ වෙන් වූයේ කවදාද?,1982,6012
13,13,1982 1982,ජාන ප්‍රතිපෝෂණ ලූපය මර්දකයක් ලෙස සේවය කරන බව පෙන්වූ පර්යේෂකයා කුමක්ද?,ඇන්ඩ rew මිලර්,6013
14,14,"හයිබර්නෝ-ඉංග්‍රීසි නිරිතදිග උපභාෂාවේ කොටසක් වන කෝක් උච්චාරණය අයර්ලන්තයේ අනෙකුත් උච්චාරණවලට වඩා වෙනස් වන විවිධ අංග පෙන්වයි. සමස්ත ස්වරය අනෙකුත් අයර්ලන්ත උච්චාරණවලට වඩා ඉහළ මට්ටමක පැවතීමත් සමඟ ස්වරය සහ ශබ්දයේ රටාවන් බොහෝ විට ඉහළ යයි. කෝක් භාෂාවෙන් කතා කරන ඉංග්‍රීසි භාෂාවට නගරයට සහ අවට පරිසරයට ආවේණික වූ උපභාෂා වචන ගණනාවක් ඇත. සම්මත හයිබර්නෝ-ඉංග්‍රීසි මෙන්, මෙම වචන සමහරක් අයර්ලන්ත භාෂාවෙන් ආරම්භ වූ නමුත් අනෙක් භාෂා හරහා කෝක්හි වැසියන්ට දේශීය හා විදේශීය වශයෙන් හමු විය. කෝක් උච්චාරණය සාමාන්‍යයෙන් කථිකයාගේ සමාජ පංතිය මත පදනම්ව විවිධාකාර රොටෝසිටි බව පෙන්වයි. කෝක් උච්චාරණය සාමාන්‍යයෙන් කථිකයාගේ සමාජ පංතිය මත පදනම්ව විවිධාකාර රොටෝසිටි බව පෙන්වයි.","අයර්ලන්ත ""r"" හි උච්චාරණය කුමක්ද?",රොටිටික්,6014
15,15,ප්‍රථම වරට තේරී පත් වූ රාජ්‍ය නායකයා වූයේ කෞටෙමොක් කෝර්ඩනාස් ය. 2000 ජනාධිපතිවරණයට තරඟ කිරීම සඳහා කෝර්ඩනාස් 1999 දී ඉල්ලා අස් වූ අතර ඔහුගෙන් පසුව රොසරියෝ රොබල්ස් නම් කරන ලදී. මෙක්සිකෝ නගරය පාලනය කළ පළමු කාන්තාව (තේරී පත් වූ හෝ වෙනත්) බවට පත්විය. 2000 දී ඇන්ඩ්‍රෙස් මැනුවෙල් ලෝපෙස් ඕබ්‍රඩෝර් තේරී පත් වූ අතර 2006 ජනාධිපතිවරණය සඳහා තරඟ කිරීම සඳහා 2005 දී ඉල්ලා අස්විය. 2006 දී මාර්සෙලෝ එබ්‍රාඩ් 2006–2012 කාලය සඳහා තේරී පත් විය. 2006 දී මාර්සෙලෝ එබ්‍රාඩ් 2006–2012 කාලය සඳහා තේරී පත් විය.,පළමු වරට තේරී පත් වූ රාජ්‍ය නායකයාට පසුව රජයේ ප්‍රධානියා කවුද?,පළමු වරට තේරී පත් වූ රාජ්‍ය නායකයාට පසුව රජයේ ප්‍රධානියා කවුද?...,6015
16,16,රොසරියෝ රොබල්ස් රොසරියෝ රොබල්ස්,සාකච්ඡාවේ ප්‍රති result ලයක් ලෙස පිහිටුවන ලද සංවිධානය කුමක්ද?,සාකච්ඡාවේ ප්‍රති result ලයක් ලෙස පිහිටුවන ලද සංවිධානය කුමක්ද?,6016
17,17,සාකච්ඡාවේ ප්‍රති result ලයක් ලෙස පිහිටුවන ලද සංවිධානය කුමක්ද?... උදාහරණයක් ලෙස විටමින් සම්බන්ධයෙන් ඔවුන්ගේ අවශ්‍යතාවය එතරම් තහවුරු වී නොමැත.,පෝෂ්‍ය පදාර්ථ ඒවායේ කාණ්ඩ දෙකකට වර්ග කර ඇත්තේ කුමන වර්ෂයේදීද?,2014,6017
18,18,"2014 බටහිර රටවල පුරාණ ග්‍රීකයෝ මුලදී සැලකුවේ හොඳම ආණ්ඩු ක්‍රමය හොඳම මිනිසුන් විසින් පාලනය කරන බවය. ප්ලේටෝ නීතියට ඉහළින් සිටි පරමාදර්ශී දාර්ශනික රජෙකු විසින් පාලනය කරන ලද කරුණාවන්ත රාජාණ්ඩුවක් වෙනුවෙන් පෙනී සිටියේය. කෙසේවෙතත්, ප්ලේටෝ බලාපොරොත්තු වූයේ ස්ථාපිත නීතිවලට ගරු කිරීම සඳහා හොඳම මිනිසුන් හොඳ වනු ඇති බවයි. “නීතිය වෙනත් අධිකාරියකට යටත් වන අතර එහි කිසිවක් නොමැති තැන, රාජ්‍යයේ බිඳවැටීම දුර not ත නොවේ; නීතිය ආණ්ඩුවේ ස්වාමියා නම් සහ රජය එහි වහලෙක් නම්, තත්වය පොරොන්දුවෙන් පිරී ඇති අතර දෙවිවරුන් රාජ්‍යයක් මත වැගිරෙන සියලු ආශීර්වාද මිනිසුන් භුක්ති විඳිති. ප්ලේටෝ උත්සාහ කිරීමට වඩා, නීති ආරක්ෂා කිරීමට හා සේවය කිරීමට වඩා ඉහළ නිලධාරීන්ට බලය යෙදවීමට ඇරිස්ටෝටල් තරයේ විරුද්ධ විය. වෙනත් වචන වලින් කිවහොත්, ඇරිස්ටෝටල් නීතියේ ආධිපත්‍යය වෙනුවෙන් පෙනී සිටියේය:",ජාතියක් මෙහෙයවිය යුතු යැයි ඇරිස්ටෝටල් විශ්වාස කළේ කුමන නීතිය යටතේද?,නීතියේ ආධිපත්‍යය,6018
19,19,"එක්සත් ජනපදයේ වෘත්තීය මල්ලවපොර කතන්දර ගොඩනැගීම සහ චරිත පිහිටුවීම (සහ ඔවුන්ගේ පෞරුෂත්වය) කෙරෙහි වැඩි අවධානයක් යොමු කරයි. සෑම තරඟයක් සඳහාම කතාවක් ඇත, අනුප්‍රාප්තික තරඟ සඳහා දිගු කතාවක් ද ඇත. කතන්දර වල සාමාන්‍යයෙන් මුහුණු සහ විලුඹ වැනි චරිත අඩංගු වන අතර අඩු වාර ගණනක් ප්‍රති-හීරෝ සහ ට්වීනර් වේ. මුහුණ දිනුවහොත් එය ""ජයග්රහණයක්"" වන අතර විලුඹ දිනුවහොත් එය ""ඛේදවාචකයක්"" වේ. චරිත සාමාන්‍යයෙන් ශක්තිමත් හා තියුණු පෞරුෂයකින් යුක්ත වන අතර ඩොයින්ක් ද ක්ලෝන් වැනි උදාහරණ ඇත. ඔහුගේ පෞරුෂය තනු නිර්මාණය, කම්මුල් පහර සහ මන fant කල්පිත ය. මුහුණු සහ විලුඹ අතර ඇති විරුද්ධත්වය කතාවේ ඉතා තීව්‍ර වන අතර රූපවාහිනී සම්මුඛ සාකච්ඡා අතරතුර විලුඹ පවා මුහුණු වලට පහර දෙයි. විවිධ චරිත අතර සම්බන්ධතාවය ද ඉතා සංකීර්ණ විය හැකිය. විවිධ චරිත අතර සම්බන්ධතාවය ද ඉතා සංකීර්ණ විය හැකිය.",කතාවක ප්‍රති come ල මොනවාද?,"මුහුණ දිනුවහොත් එය ""ජයග්රහණයක්"" වන අතර විලුඹ දිනුවහොත් එය ""ඛේදවාචකයක්"" වේ.",6019
20,20,"මුහුණ දිනුවහොත් එය ""ජයග්රහණයක්"" වන අතර විලුඹ දිනුවහොත් එය ""ඛේදවාචකයක්"" වේ. මුහුණ දිනුවහොත් එය ""ජයග්රහණයක්"" වන අතර විලුඹ දිනුවහොත් එය ""ඛේදවාචකයක්"" වේ....","මෝටර් රථ කර්මාන්ත සමාගම් හාරසියයක් තවත් කම්කරුවන් 100,000 ක් සේවයේ යොදවා ඇත: මේවායින් බොහොමයක් කේන්ද්‍රගත වී ඇත්තේ රෙනෝල්ට් සහ පීඑස්ඒ-සිට්‍රොයින් කම්හල් අවට යවලයින්ස් දෙපාර්තමේන්තුවෙනි (මෙම දෙපාර්තමේන්තුවේ පමණක් 33,000 ක් සේවය කරයි), නමුත් සමස්තයක් ලෙස කර්මාන්තයට විශාල අලාභයක් සිදුවී ඇත්තේ 2014 අවසන් වීමත් සමඟ ය. ප්‍රධාන ඕල්නේ-සොස්-බෝයිස් සිට්‍රෝන් එකලස් කිරීමේ කම්හලක්....",පැරිස් කලාපයේ නිෂ්පාදන විශේෂීකරණය වන්නේ කුමක් ද?,6020
21,21,"චීනයේ රතු (සරල කරන ලද චීන: traditional; සාම්ප්‍රදායික චීන: 紅; පින්යින්: හොං) යනු ගින්නෙහි සංකේතය වන අතර දකුණ (දකුණේ පොදුවේ සහ දකුණු චීනය විශේෂයෙන්). එය ධෛර්යය, පක්ෂපාතීත්වය, ගෞරවය, සාර්ථකත්වය, වාසනාව, සාරවත් බව, සතුට, ආශාව සහ ගිම්හානය සමඟ සම්බන්ධ වී ඇති බොහෝ දුරට ධනාත්මක අර්ථයක් දරයි. චීන සංස්කෘතික සම්ප්‍රදායන්හි රතු පැහැය මංගල උත්සව සමඟ සම්බන්ධ වේ (මනාලියන් සාම්ප්‍රදායිකව රතු ඇඳුම් අඳිති) සහ මුදල් හෝ වෙනත් වස්තූන් තෑගි ඔතා ගැනීමට රතු කඩදාසි නිතර භාවිතා වේ. මුදල් තෑගි දීම සඳහා චීන අලුත් අවුරුදු සැමරුම්වලදී විශේෂ රතු පැකට් (සරල කරන ලද චීන: traditional; සාම්ප්‍රදායික චීන: 紅包; පින්යින්: මැන්ඩරින් භාෂාවෙන් හෝ කැන්ටොනිස්හි ලායි බලන්න) විශේෂයෙන් භාවිතා වේ. වඩාත් negative ණාත්මක පැත්තෙන්, අවමංගල්‍යයන් සාම්ප්‍රදායිකව රතු තීන්තයෙන් ලියා ඇති අතර, යමෙකුගේ නම රතු සං als ා වලින් ලිවීම එක්කෝ කෙනෙකුගේ ජීවිතයෙන් කපා හැරීම හෝ ඔවුන් මිය ගොස් ඇති බව. රතු පැහැය ප්‍රභවය මත පදනම්ව ස්ත්‍රී හෝ පුරුෂ (පිළිවෙලින් යින් සහ යැං) සමඟ සම්බන්ධ වේ. මහජන චීන සමූහාණ්ඩුවේ (පීආර්සී) ආරම්භක පියා වන සභාපති මාඕ සේ-තුංගේ උපුටා දැක්වීම් එකතුවක් වන ලිට්ල් රෙඩ් බුක් 1966 දී ප්‍රකාශයට පත් කරන ලද අතර ඉන් පසුව පුළුල් ලෙස බෙදා හරින ලදී. චීනයේ රතු (සරල කරන ලද චීන: traditional; සාම්ප්‍රදායික චීන: 紅; පින්යින්: හොං) යනු ගින්නෙහි සංකේතය වන අතර දකුණ (දකුණේ පොදුවේ සහ දකුණු චීනය විශේෂයෙන්). එය ධෛර්යය, පක්ෂපාතීත්වය, ගෞරවය, සාර්ථකත්වය, වාසනාව, සාරවත් බව, සතුට, ආශාව සහ ගිම්හානය සමඟ සම්බන්ධ වී ඇති බොහෝ දුරට ධනාත්මක අර්ථයක් දරයි. චීන සංස්කෘතික සම්ප්‍රදායන්හි රතු පැහැය මංගල උත්සව සමඟ සම්බන්ධ වේ (මනාලියන් සාම්ප්‍රදායිකව රතු ඇඳුම් අඳිති) සහ මුදල් හෝ වෙනත් වස්තූන් තෑගි ඔතා ගැනීමට රතු කඩදාසි නිතර භාවිතා වේ. මුදල් තෑගි දීම සඳහා චීන අලුත් අවුරුදු සැමරුම්වලදී විශේෂ රතු පැකට් (සරල කරන ලද චීන: traditional; සාම්ප්‍රදායික චීන: 紅包; පින්යින්: මැන්ඩරින් භාෂාවෙන් හෝ කැන්ටොනිස්හි ලායි බලන්න) විශේෂයෙන් භාවිතා වේ. වඩාත් negative ණාත්මක පැත්තෙන්, අවමංගල්‍යයන් සාම්ප්‍රදායිකව රතු තීන්තයෙන් ලියා ඇති අතර, යමෙකුගේ නම රතු සං als ා වලින් ලිවීම එක්කෝ කෙනෙකුගේ ජීවිතයෙන් කපා හැරීම හෝ ඔවුන් මිය ගොස් ඇති බව. රතු පැහැය ප්‍රභවය මත පදනම්ව ස්ත්‍රී හෝ පුරුෂ (පිළිවෙලින් යින් සහ යැං) සමඟ සම්බන්ධ වේ. මහජන චීන සමූහාණ්ඩුවේ (පීආර්සී) ආරම්භක පියා වන සභාපති මාඕ සේ-තුංගේ උපුටා දැක්වීම් එකතුවක් වන ලිට්ල් රෙඩ් බුක් 1966 දී ප්‍රකාශයට පත් කරන ලද අතර ඉන් පසුව පුළුල් ලෙස බෙදා හරින ලදී.",පුංචි රතු පොත ලිව්වේ කවුද?,සභාපති මාඕ සේ-තුං,6021
